"city_dev","gender","expenience","university","edu_level","major","expenience_year","company_size","company_type","jobs","train_hours","target","train_hours_scale","expenience_year_new"
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",18,"500-999","Pvt Ltd",">4",164,0,5.0998664278242,3
0.698,"Male","Has relevent experience","enrollment","Graduate","STEM",4,"100-500","Pvt Ltd","2",26,1,3.25809653802148,2
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",13,"100-500","Pvt Ltd","1",29,0,3.36729582998647,3
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",5,"100-500","Other","3",73,0,4.29045944114839,3
0.624,"Male","Has relevent experience","no_enrollment","Graduate","STEM",7,"50-99","Pvt Ltd","1",12,1,2.484906649788,3
0.926,"Male","No relevent experience","no_enrollment","Masters","STEM",19,"1000-4999","Other",">4",48,0,3.87120101090789,3
0.92,"Male","Has relevent experience","no_enrollment","Graduate","STEM",12,"10000+","Pvt Ltd","4",138,0,4.92725368515721,3
0.804,"Male","Has relevent experience","no_enrollment","Graduate","Other",17,"Other","Pvt Ltd","1",73,0,4.29045944114839,3
0.897,"Male","Has relevent experience","no_enrollment","Masters","STEM",7,"10/49","Pvt Ltd","2",64,0,4.15888308335967,3
0.926,"Male","No relevent experience","enrollment","Graduate","STEM",5,"10000+","Other",">4",54,1,3.98898404656427,3
0.92,"Male","No relevent experience","enrollment","Graduate","STEM",10,"Other","Pvt Ltd","3",78,1,4.35670882668959,3
0.925,"Male","Has relevent experience","enrollment","Masters","STEM",9,"50-99","Pvt Ltd","4",52,0,3.95124371858143,3
0.55,"Male","Has relevent experience","no_enrollment","Graduate","STEM",16,"50-99","Pvt Ltd","3",18,1,2.89037175789616,3
0.92,"Male","No relevent experience","no_enrollment","Graduate","STEM",17,"5000-9999","Pvt Ltd",">4",67,0,4.20469261939097,3
0.624,"Male","Has relevent experience","enrollment","Graduate","STEM",6,"10/49","Pvt Ltd","1",232,1,5.44673737166631,3
0.698,"Male","No relevent experience","enrollment","Graduate","STEM",1,"Other","Pvt Ltd","1",13,0,2.56494935746154,2
0.91,"Male","Has relevent experience","no_enrollment","Graduate","STEM",13,"10/49","Pvt Ltd",">4",29,0,3.36729582998647,3
0.893,"Male","Has relevent experience","enrollment","Graduate","Other",9,"10/49","Pvt Ltd","2",38,0,3.63758615972639,3
0.764,"Male","Has relevent experience","no_enrollment","Graduate","STEM",3,"<10","Pvt Ltd","1",12,0,2.484906649788,2
0.92,"Male","Has relevent experience","no_enrollment","Masters","STEM",17,"Other","Pvt Ltd",">4",65,1,4.17438726989564,3
0.767,"Male","Has relevent experience","no_enrollment","Graduate","STEM",18,"100-500","Pvt Ltd","never",14,0,2.63905732961526,3
0.92,"Male","No relevent experience","enrollment","Graduate","STEM",3,"Other","Pvt Ltd","1",49,0,3.89182029811063,2
0.878,"Male","Has relevent experience","no_enrollment","Masters","STEM",21,"50-99","Pvt Ltd",">4",25,0,3.2188758248682,3
0.624,"Male","Has relevent experience","enrollment","Graduate","STEM",4,"100-500","Pvt Ltd","1",82,1,4.40671924726425,2
0.939,"Other","Has relevent experience","no_enrollment","Masters","STEM",7,"100-500","Other",">4",77,1,4.34380542185368,3
0.926,"Male","Has relevent experience","no_enrollment","Masters","STEM",8,"10000+","Pvt Ltd","2",6,1,1.79175946922805,3
0.855,"Male","Has relevent experience","enrollment","Graduate","STEM",4,"10/49","Other","3",81,0,4.39444915467244,2
0.624,"Male","Has relevent experience","enrollment","Masters","STEM",5,"10/49","Other","3",6,1,1.79175946922805,3
0.796,"Male","No relevent experience","enrollment","High School","STEM",4,"1000-4999","Pvt Ltd","1",53,0,3.97029191355212,2
